类型,游戏名称,游戏类型,url_or_filename,大小,发布时间,年份
真人影游类,失恋玩家 Build.23077418,冒险|休闲|独立|角色扮演|模拟,https://pan.quark.cn/s/fb9652e9f1f6,80 GB,2026 年 4 月 30 日,2026
真人影游类,代号三国：龙起 Build.23024868,冒险|休闲|独立|角色扮演|模拟|策略,https://pan.quark.cn/s/2f78d20e8a3e,80 GB,2026 年 4 月 28 日,2026
真人影游类,逆袭重启 Build.22128461,冒险|角色扮演|策略,https://pan.quark.cn/s/b2feb9cee7c2,70 GB,2026 年 2 月 25 日,2026
真人影游类,宝贝别怕，有我在 Build.22436647,冒险|休闲|独立|角色扮演|模拟,https://pan.quark.cn/s/30cc38695a49,60 GB,2026 年 4 月 25 日,2026
真人影游类,罪金游戏 Build.22212019,冒险|角色扮演,https://pan.quark.cn/s/28287b01eaed,60 GB,2026 年 3 月 5 日,2026
真人影游类,心之岛 Build.22528879,冒险|休闲|独立|角色扮演|模拟,https://pan.quark.cn/s/107c6e3097c1,50 GB,2026 年 3 月 27 日,2026
真人影游类,男神模拟器 Build.23374790,休闲|角色扮演,https://pan.quark.cn/s/b67ebd58b952,41 GB,2026 年 5 月 16 日,2026
真人影游类,夏日美女：欧巴请和我恋爱吧！v20260408,冒险|角色扮演|模拟,https://pan.quark.cn/s/8c0fad7c6258,40 GB,2026 年 3 月 22 日,2026
真人影游类,女神的贴身男仆 Build.21828100,休闲|独立|角色扮演|模拟,https://pan.quark.cn/s/f975be7b0a5a,40 GB,2026 年 2 月 6 日,2026
真人影游类,嘟嘟嘟~恋爱信号响不停，美女室友们教我如何淡定？ Build.22173934,动作|冒险|休闲|角色扮演|模拟,https://pan.quark.cn/s/c6c9803a81c5,40 GB,2026 年 3 月 3 日,2026
真人影游类,血薪记：罪恶园区 Build.21504525,休闲|角色扮演|模拟,https://pan.quark.cn/s/c59a0ff0ba5f,40 GB,2026 年 1 月 9 日,2026
真人影游类,成为皇帝！我的万亿美女星球帝国 Build.22856344,冒险|休闲|独立|角色扮演|模拟|策略,https://pan.quark.cn/s/39a8ae2c965e,36 GB,2026 年 4 月 29 日,2026
真人影游类,合租恋人：恋爱进行时 Build.23249832,冒险|角色扮演|模拟,https://pan.quark.cn/s/b9128d0e1d97,35 GB,2026 年 5 月 25 日,2026
真人影游类,我的机器人女友 Build.22314596,休闲|独立|角色扮演|模拟,https://pan.quark.cn/s/a963d485beff,35 GB,2026 年 3 月 12 日,2026
真人影游类,厦日恋旅 Build.22639242,冒险|休闲|独立|角色扮演|模拟|策略,https://pan.quark.cn/s/5097be4dc72b,30 GB,2026 年 4 月 2 日,2026
真人影游类,不好啦！师父被女妖精抓走了！ Build.22258419,冒险|休闲|独立|角色扮演|策略,https://pan.quark.cn/s/ea9ec48996b9,30 GB,2026 年 2 月 4 日,2026
真人影游类,你好，你配吗？ Build.22863638,休闲|独立|角色扮演|模拟,https://pan.quark.cn/s/f12d2ed95588,20 GB,2026 年 4 月 18 日,2026
